Country Code,Year,data_quality_life_expectancy,Income,Population,Country,Region
alb,1824,4,764,444927,Albania,europe
alb,1825,4,766,446929,Albania,europe
alb,1826,4,768,448940,Albania,europe
alb,1827,4,770,450959,Albania,europe
alb,1828,4,771,452988,Albania,europe
alb,1829,4,773,455027,Albania,europe
alb,1830,4,774,457074,Albania,europe
alb,1831,4,777,459130,Albania,europe
alb,1832,4,779,461196,Albania,europe
alb,1833,4,780,463271,Albania,europe
alb,1834,4,782,465356,Albania,europe
alb,1835,4,783,467449,Albania,europe
alb,1836,4,786,469552,Albania,europe
alb,1837,4,787,471665,Albania,europe
alb,1838,4,789,473787,Albania,europe
alb,1839,4,791,475919,Albania,europe
alb,1840,4,792,478060,Albania,europe
alb,1841,4,795,480211,Albania,europe
alb,1842,4,796,482372,Albania,europe
alb,1843,4,798,484542,Albania,europe
alb,1844,4,800,486722,Albania,europe
alb,1845,4,802,488912,Albania,europe
alb,1846,4,804,491112,Albania,europe
alb,1847,4,805,493321,Albania,europe
alb,1848,4,807,495541,Albania,europe
alb,1849,4,809,498261,Albania,europe
alb,1850,4,811,501490,Albania,europe
alb,1851,4,813,505377,Albania,europe
alb,1852,4,815,509789,Albania,europe
alb,1853,4,816,514733,Albania,europe
alb,1854,4,818,519724,Albania,europe
alb,1855,4,820,524764,Albania,europe
alb,1856,4,822,529853,Albania,europe
alb,1857,4,824,534991,Albania,europe
alb,1858,4,825,540179,Albania,europe
alb,1859,4,828,545417,Albania,europe
alb,1860,4,830,550706,Albania,europe
alb,1861,4,829,556046,Albania,europe
alb,1862,4,829,561438,Albania,europe
alb,1863,4,830,566882,Albania,europe
alb,1864,4,829,572378,Albania,europe
alb,1865,4,829,577928,Albania,europe
alb,1866,4,829,583532,Albania,europe
alb,1867,4,829,589190,Albania,europe
alb,1868,4,827,594903,Albania,europe
alb,1869,4,827,600661,Albania,europe
alb,1870,4,827,606465,Albania,europe
alb,1871,4,839,612314,Albania,europe
alb,1872,4,851,618209,Albania,europe
alb,1873,4,864,624151,Albania,europe
alb,1874,4,876,630149,Albania,europe
alb,1875,4,889,636206,Albania,europe
alb,1876,4,902,642320,Albania,europe
alb,1877,4,916,648493,Albania,europe
alb,1878,4,929,654726,Albania,europe
alb,1879,4,943,661018,Albania,europe
alb,1880,4,957,667371,Albania,europe
alb,1881,4,971,673785,Albania,europe
alb,1882,4,985,680260,Albania,europe
alb,1883,4,1000,686798,Albania,europe
alb,1884,4,1015,693398,Albania,europe
alb,1885,4,1030,700062,Albania,europe
alb,1886,4,1045,706789,Albania,europe
alb,1887,4,1060,713582,Albania,europe
alb,1888,4,1076,720439,Albania,europe
alb,1889,4,1092,727425,Albania,europe
alb,1890,4,1108,734542,Albania,europe
alb,1891,4,1123,741792,Albania,europe
alb,1892,4,1138,749176,Albania,europe
alb,1893,4,1154,756696,Albania,europe
alb,1894,4,1170,764292,Albania,europe
alb,1895,4,1186,771964,Albania,europe
alb,1896,4,1202,779713,Albania,europe
alb,1897,4,1219,787540,Albania,europe
alb,1898,4,1235,795445,Albania,europe
alb,1899,4,1252,803288,Albania,europe
alb,1900,4,1269,811069,Albania,europe
alb,1901,4,1286,818784,Albania,europe
alb,1902,4,1303,826432,Albania,europe
alb,1903,4,1320,834010,Albania,europe
alb,1904,4,1337,841658,Albania,europe
alb,1905,4,1354,849375,Albania,europe
alb,1906,4,1372,857164,Albania,europe
alb,1907,4,1390,865024,Albania,europe
